"Credit / Debit Card (Paythor SanalPos Pro)","Kredi / Banka Kartı (Paythor SanalPos Pro)"
"Paythor SanalPos Pro","Paythor SanalPos Pro"
"Enabled","Etkin"
"Title","Başlık"
"Magento App ID","Magento Uygulama Kimliği"
"Account Connection","Hesap Bağlantısı"
"Sandbox Mode","Test Modu"
"Use Paythor sandbox endpoint for testing.","Test için Paythor sandbox API'sini kullanın."
"Payment Action","Ödeme İşlemi"
"New Order Status","Yeni Sipariş Durumu"
"Payment from Applicable Countries","Uygulanabilir Ülkelerden Ödeme"
"Payment from Specific Countries","Belirli Ülkelerden Ödeme"
"Sort Order","Sıralama"
"Debug Logging","Hata Ayıklama Günlüğü"
"Your payment was declined. Please try again or use a different payment method.","Ödemeniz reddedildi. Lütfen tekrar deneyin veya farklı bir ödeme yöntemi kullanın."
"Invalid form key. Please refresh the page.","Geçersiz form anahtarı. Lütfen sayfayı yenileyin."
"Payment method is not configured.","Ödeme yöntemi yapılandırılmamış."
"Your cart is empty or invalid.","Sepetiniz boş veya geçersiz."
"We could not start the payment. Please try again.","Ödeme başlatılamadı. Lütfen tekrar deneyin."
"Invalid payment reference.","Geçersiz ödeme referansı."
"Payment session mismatch. Please try again.","Ödeme oturumu uyuşmuyor. Lütfen tekrar deneyin."
"Your cart is empty or has already been processed.","Sepetiniz boş veya zaten işlenmiş."
"Could not finalize the order. Please contact support.","Sipariş tamamlanamadı. Lütfen destek ile iletişime geçin."
"Connect","Bağlan"
"Connect Account","Hesap Bağla"
"Paythor – Connect Account","Paythor – Hesap Bağla"
"Email","E-posta"
"Password","Şifre"
"OTP Code","Tek Kullanımlık Şifre"
"Verify OTP","OTP Doğrula"
"Processing…","İşleniyor…"
"Please return to the previous page.","Lütfen önceki sayfaya dönün."
"Paythor: browser-redirect callback received. Awaiting server webhook for final confirmation. (process status: %1)","Paythor: tarayıcı yönlendirme alındı. Sunucu webhook'u bekleniyor. (işlem durumu: %1)"
"Paythor payment confirmed by browser. Awaiting server webhook.","Paythor ödemesi tarayıcı tarafından onaylandı. Sunucu webhook'u bekleniyor."
"Paythor: browser callback received, status pending (%1). Awaiting server webhook.","Paythor: tarayıcı geri araması alındı, durum beklemede (%1). Sunucu webhook'u bekleniyor."
"Logs API traffic to var/log/paythor_sanalpospro.log","API trafiğini var/log/paythor_sanalpospro.log dosyasına kaydeder"
"Go to <strong>Stores → Paythor → Connect Account</strong> in the left sidebar to connect your account. API keys and App ID are saved automatically — no manual entry needed.","API anahtarlarını ve Uygulama Kimliğini otomatik kaydetmek için sol menüden <strong>Mağazalar → Paythor → Hesap Bağla</strong>'ya gidin — manuel giriş gerekmez."
"Custom hybrid iframe payment integration. Webhook URL: <code>{base_url}paythor/webhook/notify</code>","Özel hibrit iframe ödeme entegrasyonu. Webhook URL: <code>{base_url}paythor/webhook/notify</code>"
